video_id,title,views,language
n1WpP7iowLc,Eminem - Walk On Water (Audio) ft. Beyoncé,17158579,English
0dBIkQ4Mz1M,PLUSH - Bad Unboxing Fan Mail,1014651,English
5qpjK5DgCt4,"Racist Superman | Rudy Mancuso, King Bach & Lele Pons",3191434,English
d380meD0W0M,I Dare You: GOING BALD!?,2095828,English
2Vv-BfVoq4g,Ed Sheeran - Perfect (Official Music Video),33523622,English
0yIWz1XEeyc,Jake Paul Says Alissa Violet CHEATED with LOGAN PAUL! #DramaAlert Team 10 vs  Martinez Twins!,1309699,English
_uM5kFfkhB8,Vanoss Superhero School - New Students,2987945,English
2kyS6SvSYSE,WE WANT TO TALK ABOUT OUR MARRIAGE,748374,English
JzCsM1vtn78,THE LOGANG MADE HISTORY. LOL. AGAIN.,4477587,English
43sm-QwLcx4,Finally Sheldon is winning an argument about the existence of God,505161,English
H1KBHFXm2Bg,21 Savage - Bank Account (Official Music Video),5068229,English
U3xLOo-CNwo,12 Weird Ways To Sneak Food Into Class / Back To School Pranks,3153224,English
FyZMnhUtLfE,猎场 | Game Of Hunting 12【TV版】（胡歌、張嘉譯、祖峰等主演）,158815,English
7MxiQ4v0EnE,Daang ( Full Video ) | Mankirt Aulakh | Sukh Sanghera | Latest Punjabi Song 2017 | Speed Records,5718766,English
LUzsOyWp9lw,YOUTUBERS REACT TO TOP 10 TWITTER ACCOUNTS OF ALL TIME,960747,English
AS9-ITLhQxo,I Hired An MI6 Spy To Help Me Disappear,1531218,English
gifPYwArCVQ,Fake Pet Smart Employee Prank!,557883,English
8NHA23f7LvU,Jason Momoa Wows Hugh Grant With Some Dothraki | The Graham Norton Show,1496225,English
fy-CuCzaPp8,Rooster Teeth Animated Adventures - Drunk Baby Sitting,308568,English
kzwfHumJyYc,Sharry Mann: Cute Munda ( Song Teaser) | Parmish Verma | Releasing on 17 November,1096327,English
nc99ccSXST0,5 Ice Cream Gadgets put to the Test,817732,English
puqaWrEC7tY,Nickelback Lyrics: Real or Fake?,343168,English
6H3wVsceoS0,Smart Girl Shows How to Build Candy Dispenser,3905245,English
PRlmRnU9qts,Jake Paul - Saturday Night (Song) feat. Nick Crompton & Chad Tepper (Official Music Video),4204818,English
ZhhXLMbZ1rQ,DO COLLEGE KIDS KNOW 80s MUSIC? #8 (REACT: Do They Know It?),549374,English
wuf2KinLxZ8,WRESTLING NIGAHIGA!!! (WILD CARD),348841,English
aVTAU_4i9AY,Throwing Things Into A Fan!,370827,English
7779JdxVAg0,"10 FILMS que LES PARENTS CROYAIENT ÊTRE pour ENFANTS, ALORS que NON | Lama Faché",653398,English
jVpp2BUtMoY,So We Started A Fire...,92280,English
j67FgNEvyh8,Telefoon || Babbu Maan || Promo || Full Song 15th November || Latest Punjabi Songs 2017 || Hey Yolo,178447,English
oQH_rtoHsdQ,CARPOOL KARAOKE w/ FaZe Banks!!,585425,English
m-nZmgHWoEw,Mythical Dog Party,116676,English
V4Uuxg6jmbo,The Try Guys Bake Bread Without A Recipe,3597410,English
WuTFI5qftCE,PAPY GRENIER - METAL GEAR SOLID,925222,English
_A5Z00E5gx8,急诊科医生 | Emergency Physician 25（张嘉译、王珞丹、柯蓝等主演）,123778,English
wczm1faUZ1Q,Barnicle: World Leaders Are Laughing At The US | Morning Joe | MSNBC,200264,English
uEu5--lyNCE,Cats Hate Pregnant - Off Topic #102,191353,English
cTBnDJ77kr0,H3 Podcast #38 - Hila Klein,721066,English
FSdg3UVuBKE,Autumn's sick...,182330,English
6xT1Xc7_X3k,He Almost Died Pier Jumping ...,524623,English
GBVxEpQr8R8,ON VOUS DÉVOILE NOTRE VRAI SALAIRE,2340941,English
JwboxqDylgg,"Canada Soccer's Women's National Team v USA International Friendly LIVE from Avaya Stadium, San Jose",36311,English
t3FYESkzjUI,Emotionally Responsive Digital Human,3684,English
0gLWN3uq74o,Ex-intelligence chiefs fire back at Trump criticism (Entire CNN interview),286231,English
9fNvbeBLwGc,HOLIDAY 2017 ⭐️ COLLECTION & SKIN FROST PALETTE REVEAL | Jeffree Star Cosmetics,1637172,English
-Toujzk3ysk,"Gerrymandering, Conservative Comedians, Bobby Kennedy | Overtime with Bill Maher (HBO)",458964,English
k3GxDSG1c0Y,NELK - Before They Were Famous - Kyle Forgeard & Jesse Sebastiani,172720,English
ThLVteoxnSE,"LFR11 - Game 19 - B Sweeper - Tor 4, Bos 1",28992,English
exMNBvwCfRY,LES PIRES DOUBLAGES FRANÇAIS,3641421,English
c64I9HNpiOY,Padmavati : Ek Dil Ek Jaan Video Song | Deepika Padukone | Shahid Kapoor | Sanjay Leela Bhansali,10588371,English
oo_xQyxgNpg,蒙面唱将猜猜猜第二季 EP10 Ella抛媚眼狂撩侦探奥特曼 171112,268111,English
teXaL6GdQRk,STRANGER JOKES : Jokes de Papa avec les teens de Stranger Things,141253,English
0kErOtN3q_w,WOW NAPAKAHUSAY ! DUTERTE AT TRUMP NAPAHANGA SA MGA BIGATING SINGING ARTIST KUMANTA SA 31st ASEAN,234983,English
TaTleo4cOs8,SHOPPING FOR NEW FISH!!!,207532,English
Nc0ZCtZdgAk,KOKE (Full Video) | SUNANDA SHARMA | Latest Punjabi Songs 2017 | AMAR AUDIO,628340,English
9t9u_yPEidY,"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin",9548677,English
ebztEUmhEMY,Celebs You Didn't Know Passed Away,900014,English
MLQLOOUO84Y,《猎场》第15、16、17、18集最全预告集合：夏部长下马，罗伊人投靠郑秋冬。郑秋冬熊青春办结婚证,25863,English
9B-q8h31Bpk,John Oliver Tackles Louis C.K. And Donald Trump In Season Finale Featuring Tom Hanks,106029,English
hW2B_GT3b1E,How green delegates keep warm at UN Climate Change Conference,11636,English
0PkVodF5QQ8,"Valérie Plante, la première mairesse de Montréal à Tout Le Monde En Parle TLMEP",9368,English
MbyP-w4uOgk,NAV - Wanted You feat. Lil Uzi Vert (Official Audio),1064943,English
f-G8fK1LJVU,BREAKING: LiAngelo Ball Just Got THROWN INTO PRISON!! Will China MURDER LiAngelo Ball?,788935,English
66Y44OxufVM,RUM (Regular Use Medicine) By Meet Hundal || Deep Jandu || Bamb Beats || Latest Punjabi Song 2017,731639,English
objBBRAurLg,KUWTK | Khloe & Kourtney Kardashian Workout Hungover | E!,146900,English
xfmqmmBTRXw,24 Oras November 13 2017,137210,English
PV8maMvPqhw,AMAZING Street Food  in CHINA | RARELY SEEN Street Food ADVENTURE TRAVEL VLOG 2017,325851,English
amEZKmJQ4Io,Drako - Watch Me Do It [Official Video],25887,English
3zjhB7NYQyg,Let's Play - Civic Doodle with Tim Gettys,274190,English
F5mzb086QM8,Secrets of Dairy: Larson Dairy Farm,29234,English
TIvI07xLPnA,"The National for Sunday, November 12, 2017",13433,English
5lC4IlTjVxk,Cat's Hate Plastic!: Best Fails of the Week | FailArmy,1846670,English
RbcGCMtlluQ,Final Nail In The Coffin: SNL Turns Against The Clinton Crime Machine,116344,English
CpU72eM8vCo,Operation: Dry Tank,56077,English
f-UzOpuKOVY,Fukrey Returns | Trailer | Pulkit Samrat | Varun Sharma | Manjot Singh | Ali Fazal | Richa Chadha,5029621,English
pXEGYQ3DNug,"Crime Patrol Dial 100 - क्राइम पेट्रोल - Ep 650 - Full Episode - 10th November, 2017",210478,English
TUmyygCMMGA,Why the rise of the robots won’t mean the end of work,256426,English
WuzMMgFsJFE,McElhinney shines in Leafs' 4-1 win over the Bruins,33167,English
1UE5Dq1rvUA,Taylor Swift Perform Ready For It - SNL,320964,English
2B8RO0GcLDw,Live with Dr.Shahid Masood | Asif Zardari | NawazSharif | MQM | 12-November-2017,187075,English
xZxOAqiQiGo,Angry Racist Gamer Gets HACKED (crazy),341389,English
Y4BoKJaLaTs,ABS-CBN Christmas Station ID 2017 “Just Love Ngayong Christmas”,281350,English
Dgut-rlPVrk,Will Grace Davies make you love her? | Live Shows | The X Factor 2017,261603,English
MBjVXkS-vuY,Last Video of Hashtag Franco Before He Died,1300826,English
SElT590QmTY,Vikings vs. Redskins | NFL Week 10 Game Highlights,439507,English
